company_name,coman_status,source,city,state,website,sales_usd,employees_total,ownership_type,parent_company,naics,business_description,segment_if_known,n_contacts,n_contacts_email_avail,sweep_key_person,sweep_source_urls
"Basic American, Inc.",unclassified food/bev mfr,hoovers,Walnut Creek,California,http://www.baf.com,3.5403183E8,1200,Private,"Basic American, Inc.",311423,"Basic American Foods caters to your basic meat-and-potatoes kind of person. The company makes dehydrated potato products under such brands as Hungry Jack, Nana's Own, Potato Pearls, Nature's Own, Redi",,3,1,,
"Battaglia Distributing Corp., Inc.",unclassified food/bev mfr,hoovers,Chicago,Illinois,http://www.battagliafoods.com,2.2833431E7,200,Private,"Battaglia Distributing Corp., Inc.",311942,"Battaglia Distributing Corp., Inc. is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening ",,3,2,,
"Bay Valley Foods, LLC",unclassified food/bev mfr,hoovers,De Pere,Wisconsin,http://www.bayvalleyfoods.com,4.364346E8,1000,Private,"TreeHouse Foods, Inc.",311999,"Bay Valley Foods, Llc is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds; pe",,3,0,,
Bay View Food Products Company,unclassified food/bev mfr,hoovers,Pinconning,Michigan,http://www.mrchipsforpickles.com,7.1393661E7,450,Private,Bay View Food Products Company,311421,"It's a pickle-lover's paradise.Bay View Foods is one of the nation's largest briners of pickling cucumbers. The company washes, grades, sorts, and pickles the cukes, using eitherits in-house recipe or",,1,0,,
Beam Global Spirits & Wine LLC,unclassified food/bev mfr,hoovers,Chicago,Illinois,http://www.beamsuntory.com,3.7210178E8,1789,Private,Suntory Global Spirits Inc.,312140,"Beam Global Spirits & Wine Llc is primarily engaged in manufacturing alcoholic liquors by distillation, and in manufacturing cordials and alcoholic cocktails by blending processes or by mixing liquors",,3,0,,
"Beaumont Juice, LLC",unclassified food/bev mfr,hoovers,Beaumont,California,http://www.perriconefarms.com,2.4920464E7,98,Private,G B & P Citrus Co Inc,311421,"Beaumont Juice, Llc is primarily engaged in canning fruits, vegetables, and fruit and vegetable juices; and in manufacturing catsup and similar tomato sauces, or natural and imitation preserves, jams,",,3,2,,
Beech-Nut Nutrition Company,unclassified food/bev mfr,hoovers,Amsterdam,New York,http://www.beechnut.com,4.2585739E7,300,Private,Hero AG,311999,"Peas and applesauce -- Beech-Nut Nutrition puts them in jars for baby'slunch or baby's finger-painting. Asone of the topbranded baby food makers (along with Gerber and Heinz), Beech-Nut Nutrition hope",,3,1,,
"Belgioioso Cheese, Inc.",unclassified food/bev mfr,hoovers,Green Bay,Wisconsin,http://www.belgioioso.com,1.0577831E8,180,Private,"Belgioioso Cheese, Inc.",311513,"BelGioioso Cheese hopes customers will say ""Bella, bella!"" in response to its dairy products. The company manufactures Italian-style specialty cheeses, including mozzarella, Gorgonzola, Parmesan, and ",,3,1,,
"Bell-Carter Olive Packing Company, Inc.",unclassified food/bev mfr,hoovers,Walnut Creek,California,http://www.bellcarter.com,9.3972099E7,450,Private,"Bell-Carter Olive Packing Company, Inc.",311421,"Founded in 1912, Bell-Carter Foods is the largest table olive producer in the US and the second largest in the world. The California company manufactures and markets canned and jarred black and green ",,3,0,,
"BellRing Brands, Inc.",unclassified food/bev mfr,hoovers,Saint Louis,Missouri,http://www.bellring.com,2.3166001E9,530,Public,"BellRing Brands, Inc.",311514,"Bellring Brands, Inc. is primarily engaged in manufacturing dry, condensed, and evaporated dairy products. This also includes manufacturing mixes for the preparation of frozen ice cream and ice milk a",,3,1,,
"Bellissimo Distribution, LLC",unclassified food/bev mfr,hoovers,Bartlett,Illinois,http://www.grecoandsons.com,5.7737299E8,700,Private,Sysco Corporation,311422,"Bellissimo Distribution, Llc is primarily engaged in canning specialty products, such as baby foods, nationality specialty foods, and soups, except seafood.",,3,3,,
"Ben & Jerry's Homemade, Inc.",unclassified food/bev mfr,hoovers,South Burlington,Vermont,http://www.benjerry.com,4.7825607E7,841,Private,UNILEVER PLC,311520,"Not yet ready for a scoop of Dulce Delish? Don't worry, Ben & Jerry's is still Ben & Jerry's Homemade: a top maker of super-premium ice cream (along with rival Nestl's Hagen-Dazs). Founded in 1978, th",,1,0,,
Berber Food Manufacturing LLC,unclassified food/bev mfr,hoovers,Elk Grove,California,http://www.mirancho.com,3.4069172E7,150,Private,C.H. Guenther & Son LLC,311830,"Berber Food Manufacturing Llc is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compo",,3,3,,
"Bernatello's Pizza, Inc.",unclassified food/bev mfr,hoovers,Maple Lake,Minnesota,http://www.bernatellos.com,1.1279572E8,470,Private,"Bernatello's Pizza, Inc.",311412,"This company feeds your frozen pizza amore, Bernatello's Pizza is a leading frozen-pizza maker in the US's Northeast, Midwest, and Rocky Mountain regions,marketing its pies under the Bernatello's and ",,3,0,,
"BestCo Holdings, Inc.",unclassified food/bev mfr,hoovers,Mooresville,North Carolina,http://www.thetrinkogroup.com,2.3168056E7,424,Private,,311340,"Bestco Holdings, Inc. is primarily engaged in manufacturing candy, including chocolate candy, other confections, and related products.",,3,0,,
"Better Baked Foods, LLC",unclassified food/bev mfr,hoovers,North East,Pennsylvania,http://www.betterbaked.com,2.5662228E7,424,Private,"Schwan's NE Foods, LLC",311812,"Better Baked Foods thinks that if you're gonna have some pizza, you'd better choose its products.As a supplier to the foodservice industry, the company produces frozen, pre-baked bread products, inclu",,1,0,,
Better Made Snack Foods Incorporated,unclassified food/bev mfr,hoovers,Detroit,Michigan,http://www.bettermade.com,2.3899849E7,152,Private,,311999,"Better Made Snack Foods Incorporated is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavenin",,3,1,,
"Better Nutritionals, LLC",unclassified food/bev mfr,hoovers,Norco,California,,2.5960918E7,960,Private,"Better Nutritionals, LLC",311514,"Better Nutritionals, Llc is primarily engaged in manufacturing dry, condensed, and evaporated dairy products. This also includes manufacturing mixes for the preparation of frozen ice cream and ice mil",,3,0,,
"Beverage Distribution Center, Inc.",unclassified food/bev mfr,hoovers,Pennsauken,New Jersey,http://www.hongrp.com,4.3877811E7,200,Private,"Beverage Distribution Center, Inc.",312111,"Beverage Distribution Center, Inc. is primarily engaged in manufacturing soft drinks and carbonated waters.",,3,2,,
"Biazzo Dairy Products, Inc.",unclassified food/bev mfr,hoovers,Ridgefield,New Jersey,http://www.biazzo.com,2.2045807E7,90,Private,,311513,"Biazzo Dairy Products, Inc. is primarily engaged in manufacturing natural cheese (except cottage cheese), processed cheese, cheese foods, cheese spreads, and cheese analogs (imitations and substitutes",,3,2,,
Big Geyser Inc.,unclassified food/bev mfr,hoovers,Maspeth,New York,http://www.biggeyser.com,2.2162895E7,300,Private,Big Geyser Inc.,312111,Big Geyser Inc. is primarily engaged in manufacturing soft drinks and carbonated waters.,,3,2,,
"Big Heart Pet Brands, Inc.",unclassified food/bev mfr,hoovers,San Francisco,California,,4.2639285E8,2500,Private,The J. M. Smucker Company,311111,"If you are feeding your pet anything other than table scraps, you've likely come across Big Heart Pet Brands. Formerly Del Monte Corporation, the company is the leading provider of branded pet food an",,3,0,,
Bimbo Bakeries Inc.,unclassified food/bev mfr,hoovers,Irving,Texas,http://www.bimbobakeriesusa.com,1.50474E9,26000,Private,"Grupo Bimbo, S.A.B. de C.V.",311812,"No snickering about the name -- Bimbo Bakeries USA (BBU) is serious about making breads, cakes, and cookies. Its name is a shortened version of the Spanish word bambino, or small child; growing up, th",,3,1,,
"Bimbo Bakeries USA, Inc.",unclassified food/bev mfr,hoovers,Irving,Texas,http://arnoldbread.com,1.2057545E9,22000,Private,Bimbo Bakeries Inc.,311812,"Bimbo Bakeries Usa, Inc. is primarily engaged in manufacturing fresh or frozen bread and bread-type rolls and fresh cakes, pies, pastries and other similar ""perishable"" bakery products.",,3,0,,
"Bimbo QSR Ohio, LLC",unclassified food/bev mfr,hoovers,Zanesville,Ohio,,4.9781422E7,360,Private,"Grupo Bimbo, S.A.B. de C.V.",445291,"Bimbo Qsr Ohio, Llc is primarily engaged in the retail sale of bakery products. The products may be purchased from others or made on the premises.",,3,1,,
"Bimbo QSR US, LLC",unclassified food/bev mfr,hoovers,Chicago,Illinois,http://www.bimboqsr.com,3.9613964E7,1700,Private,"Grupo Bimbo, S.A.B. de C.V.",311812,"Bimbo Qsr Us, Llc is primarily engaged in manufacturing fresh or frozen bread and bread-type rolls and fresh cakes, pies, pastries and other similar ""perishable"" bakery products.",,3,1,,
"Bio-Nutritional Research Group, Inc.",unclassified food/bev mfr,hoovers,Parsippany,New Jersey,http://www.powercrunch.com,2.1108791E7,185,Private,,311514,"Bio-Nutritional Research Group, Inc. is primarily engaged in manufacturing dry, condensed, and evaporated dairy products. This also includes manufacturing mixes for the preparation of frozen ice cream",,3,2,,
"Birds Eye Foods, Inc.",unclassified food/bev mfr,hoovers,Cherry Hill,New Jersey,,4.0600452E7,1585,Private,"Birds Eye Foods, Inc.",311919,"The view at Birds Eye Foods is on vegetables and a healthy bottom line. The company's namesake packaged frozen vegetables, whether boxed and bagged, are the #1 brand in the US frozen vegetable industr",,3,0,,
Biscomerica Corp.,unclassified food/bev mfr,hoovers,Rialto,California,http://www.biscomericacorp.com,4.3858788E7,252,Private,,311821,"Biscomerica Corp. is primarily engaged in manufacturing fresh cookies, crackers, pretzels, and similar ""dry"" bakery products.",,3,0,,
Blencor LLC,unclassified food/bev mfr,hoovers,Sealy,Texas,http://www.blencor.com,2.2577564E7,102,Private,,311411,"Blencor Llc is primarily engaged in freezing fruits, fruit juices, and vegetables. These establishments also produce important byproducts such as fresh or dried citrus pulp.",,3,1,,
"Blendex Company, LLC",unclassified food/bev mfr,hoovers,Louisville,Kentucky,http://www.blendex.com,2.2307451E7,62,Partnership,,311211,"The Blendex Company mixes it up. It mixes and blends ingredients in order to make down-home or spicy mixes to enhance prepared food products. The company produces custom-made breading, batters, coatin",,3,2,,
"Blue Buffalo Company, Ltd.",unclassified food/bev mfr,hoovers,Wilton,Connecticut,http://www.bluebuffalo.com,4.8057568E8,1300,Private,"Blue Buffalo Pet Products, Inc.",311111,"Blue Buffalo Company, Ltd. is primarily engaged in manufacturing dog and cat food from cereal, meat, and other ingredients. These preparations may be canned, frozen, or dry.",,3,0,,
Blue Diamond Growers,unclassified food/bev mfr,hoovers,Sacramento,California,http://www.bluediamond.com,4.0094986E8,1500,Private,Blue Diamond Growers,311999,"Almond cooperative Blue Diamond Growers is a top global player in the tree nut market. About 3,000 California almond growers belong to the cooperative, which sells almonds and almond products to food ",,1,0,,
"Bluetriton Brands, Inc.",unclassified food/bev mfr,hoovers,Stamford,Connecticut,http://www.bluetriton.com,5.0228699E8,4817,Private,Primo Brands Corporation,312112,BlueTriton Brands (formerly known as Nestl Waters North America) offers an extensive portfolio of highly recognizable sustainably-sourced and -packaged regional spring water and other water brands inc,,3,0,,
"Boardman Foods, Inc.",unclassified food/bev mfr,hoovers,Boardman,Oregon,http://www.boardmanfoods.com,3.1397028E7,150,Private,"Boardman Foods, Inc.",311411,"Boardman Foods, Inc. is primarily engaged in freezing fruits, fruit juices, and vegetables. These establishments also produce important byproducts such as fresh or dried citrus pulp.",,3,3,,
"Bob's Red Mill Natural Foods, Inc.",unclassified food/bev mfr,hoovers,Portland,Oregon,http://www.bobsredmill.com,8.9183609E7,200,Private,"Bob's Red Mill Natural Foods, Inc.",311211,"Bob's Red Mill Natural Foods, a leader in nutritious, organic, and gluten-free foods, offers a diverse line of about 400 products, including oats, baking flours and mixes, granola, grab-and-go snacks,",,3,2,,
"Bodeans Wafer Company, LLC",unclassified food/bev mfr,hoovers,Le Mars,Iowa,http://www.bodeansbaking.com,2.2047075E7,121,Private,"BoDeans Baking Holding Company, LLC",311821,"Bodeans Wafer Company, Llc is primarily engaged in manufacturing fresh cookies, crackers, pretzels, and similar ""dry"" bakery products.",,1,0,,
Bongards' Creameries,unclassified food/bev mfr,hoovers,Norwood,Minnesota,http://www.bongards.com,4.2541756E7,350,Private,Bongards' Creameries,311514,"Bongards' Creameries is primarily engaged in manufacturing dry, condensed, and evaporated dairy products. This also includes manufacturing mixes for the preparation of frozen ice cream and ice milk an",,3,3,,
Borinquen Biscuit Corporation,unclassified food/bev mfr,hoovers,Yauco,Puerto Rico,http://www.borinquenbiscuit.com,2.3718107E7,200,Private,,311821,"Borinquen Biscuit Corporation is primarily engaged in manufacturing fresh cookies, crackers, pretzels, and similar ""dry"" bakery products.",,1,0,,
"Bornstein Seafoods, Inc.",unclassified food/bev mfr,hoovers,Bellingham,Washington,http://www.bornstein.com,3.7148407E7,170,Private,"Bornstein Seafoods, Inc.",311710,"Bornstein Seafoods, Inc. is primarily engaged in preparing fresh and raw or cooked frozen fish and other seafoods and seafood preparations, such as soups, stews, chowders, fishcakes, crabcakes, and sh",,3,3,,
Boston Beer Corporation,unclassified food/bev mfr,hoovers,Boston,Massachusetts,http://www.brewbound.com,1.2306552E8,1000,Private,Boston Brewing Co Inc,312120,Boston Beer Corporation is primarily engaged in manufacturing malt beverages.,,2,0,,
"Bowman Andros Products, LLC",unclassified food/bev mfr,hoovers,Mount Jackson,Virginia,http://www.androsna.com,1.9718852E8,500,Private,ANDROS,311421,"Bowman Andros Products, Llc is primarily engaged in canning fruits, vegetables, and fruit and vegetable juices; and in manufacturing catsup and similar tomato sauces, or natural and imitation preserve",,3,0,,
"Brady Enterprises, Inc.",unclassified food/bev mfr,hoovers,Billerica,Massachusetts,http://www.bradyenterprises.com,2.3477959E7,90,Private,,311942,"Brady Enterprises, Inc. is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds; ",,3,0,,
"Braga Fresh Foods, LLC",unclassified food/bev mfr,hoovers,Salinas,California,http://www.bragafresh.com,2.097426E7,750,Private,Holland & Knight LLP,311999,"Braga Fresh Foods, Llc is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds; p",,3,2,,
"Brakebush Brothers, Inc.",unclassified food/bev mfr,hoovers,Westfield,Wisconsin,http://www.brakebush.com,2.0369125E7,675,Private,"Brakebush Brothers, Inc.",311612,"It should be pointed out that chickens don't start out with fingers, but Brakebush Brothers produces plenty of 'em. The company manufactures processed value-added chicken products (wings, nuggets, pat",,3,2,,
"Branch Properties, Inc.",unclassified food/bev mfr,hoovers,Ocala,Florida,http://www.seminolefeed.com,2.560622E7,97,Private,"Branch Properties, Inc.",311119,"Branch Properties, Inc. is primarily engaged in manufacturing prepared feeds and feed ingredients and adjuncts for animals and fowls, except dogs and cats. Included in this industry are poultry and li",,3,0,,
"Bread Alone, Inc.",unclassified food/bev mfr,hoovers,Lake Katrine,New York,http://www.breadalone.com,2.1290178E7,100,Private,"Bread Alone, Inc.",445291,"Bread Alone, Inc. is primarily engaged in the retail sale of bakery products. The products may be purchased from others or made on the premises.",,3,2,,
Brewster Cheese Company,unclassified food/bev mfr,hoovers,Brewster,Ohio,http://www.brewstercheese.com,4.4108807E7,410,Private,Brewster Cheese Company,311513,The producer of more than 100 million pounds of cheese annually makes the Ohio company one of the leading maker of natural Swiss cheese in the country. More than 400 dairy farms provide milk to its pr,,3,3,,
"Bridgetown Natural Foods, LLC",unclassified food/bev mfr,hoovers,Portland,Oregon,http://www.bridgetownnaturalfoods.com,1.124958E8,425,Private,"Bridgetown Natural Foods, LLC",311340,"Bridgetown Natural Foods, Llc is primarily engaged in manufacturing candy, including chocolate candy, other confections, and related products.",,3,0,,
Bridgford Food Processing Corporation,unclassified food/bev mfr,hoovers,Chicago,Illinois,http://www.bridgfordfoods.com,2.6639433E7,375,Private,Bridgford Foods Corporation,311612,"Bridgford Food Processing Corporation is primarily engaged in manufacturing sausages, cured meats, smoked meats, canned meats, frozen meats, and other prepared meats and meat specialties, from purchas",,3,2,,
Bridgford Foods Corporation,unclassified food/bev mfr,hoovers,Dallas,Texas,http://www.bridgford.com,2.3098599E8,668,Public,Bridgford Industries Incorporated,311612,"Bridgford Foods Corp. is a food manufacturer that processes commodity pork, beef, and flour into value-added food products. The company's success is heavily dependent on a few major customers, with sa",,3,0,,
Brill Bakery Solutions LLC,unclassified food/bev mfr,hoovers,Tucker,Georgia,,8.4549301E7,721,Private,"Rise Baking Company, LLC",311821,"A trusted brand since 1928, Brill's superior formulations for its products have been relied upon by retail bakeries and foodservice operators for almost a century. Its products include icings, glazes,",,3,0,,
"Brill, Inc.",unclassified food/bev mfr,hoovers,Tucker,Georgia,http://www.risebakingcompany.com,5.0034821E7,1500,Private,"Rise Baking Company, LLC",311812,"Brill, Inc. is primarily engaged in manufacturing fresh or frozen bread and bread-type rolls and fresh cakes, pies, pastries and other similar ""perishable"" bakery products.",,3,0,,
"Brimhall Food Company, Inc.",unclassified food/bev mfr,hoovers,Memphis,Tennessee,http://www.brimsnacks.com,2.4594931E7,95,Private,"Brimhall Food Company, Inc.",311919,"Brimhall Food Company, Inc. is primarily engaged in manufacturing potato chips, corn chips, and similar snacks.",,3,1,,
Bristol Farms,unclassified food/bev mfr,hoovers,Carson,California,http://www.bristolfarms.com,1.0682314E8,300,Private,The Endeavour Capital Fund Limited Partnership,311991,Bristol Farms is an upscale grocery store chain operating 19 locations exclusively in Southern California. The company runs 13 stores under its namesake brand and six as Lazy Acres Markets. It is know,,3,1,,
Brothers International Desserts,unclassified food/bev mfr,hoovers,Santa Ana,California,http://www.brothersdesserts.com,4.6628132E7,420,Private,Brothers International Desserts,311520,Brothers International Desserts is primarily engaged in manufacturing ice cream and other frozen desserts.,,3,2,,
Brown & Haley,unclassified food/bev mfr,hoovers,Fife,Washington,http://www.brown-haley.com,2.8375555E7,260,Private,Brown & Haley,311340,"Brown & Haley is a Fife, Washington food company that has been making Almond Roca and Mountain bars since 1923. Its Almond Roca is the largest exported gift candy in the US. It also operates two facto",,3,3,,
"Brown Packing Co., Inc.",unclassified food/bev mfr,hoovers,Gaffney,South Carolina,http://www.brownpacking.com,4.5E8,575,Private,,311611,"Brown Packing Co., Inc. is primarily engaged in the slaughtering, for their own account or on a contract basis for the trade, of cattle, hogs, sheep, lambs, and calves for meat to be sold or to be use",,3,0,,
"Bruce Packing Company, Inc.",unclassified food/bev mfr,hoovers,Woodburn,Oregon,http://www.brucepac.com,5.7204018E7,800,Private,"JDB, Inc.",311611,"Bruce Packing Company, Inc. is primarily engaged in the slaughtering, for their own account or on a contract basis for the trade, of cattle, hogs, sheep, lambs, and calves for meat to be sold or to be",,3,1,,
"Bruegger's Enterprises, Inc.",unclassified food/bev mfr,hoovers,Lakewood,Colorado,http://www.brueggers.com,3.877383E7,2400,Private,Coffee & Bagel Brands,445291,"Bruegger's Enterprises operates and franchises about 180 locations in around 20 states nationwide. The eateries feature fresh, New York-style bagels that are kettle-boiled and available in a variety o",,3,0,,
"Buckhead Meat & Seafood of Houston, Inc.",unclassified food/bev mfr,hoovers,Houston,Texas,,4.858783E7,285,Private,Sysco Corporation,311611,"Freedman Food Service is a leading supplier of meat products serving restaurants, hotels, and other foodservice operators in the Houston area. It processes and distributes beef, lamb, pork, and poultr",,3,2,,
Buffalo Rock Company,unclassified food/bev mfr,hoovers,Birmingham,Alabama,http://www.buffalorock.com,3.9080347E8,2100,Private,Buffalo Rock Company,312111,"Buffalo Rock Company is one of the nation's largest single-family-owned bottlers and distributors of PepsiCo soft drinks and Dr. Pepper. The company also distributes beverages from Mountain Dew, Gator",,1,0,,
"Buffalo Trace Distillery, Inc.",unclassified food/bev mfr,hoovers,Frankfort,Kentucky,http://www.buffalotracedistillery.com,1.2732286E8,200,Private,"Sazerac Company, Inc.",312140,"Buffalo Trace Distillery, Inc. is primarily engaged in manufacturing alcoholic liquors by distillation, and in manufacturing cordials and alcoholic cocktails by blending processes or by mixing liquors",,3,3,,
"Bumble Bee Seafoods, L.P.",unclassified food/bev mfr,hoovers,San Diego,California,http://www.bumblebee.com,2.1569008E7,150,Partnership,,311710,"Bumble Bee Seafoods, L.P. is primarily engaged in cooking and canning fish, shrimp, oysters, clams, crabs, and other seafoods, including soups; and those engaged in smoking, salting, drying, or otherw",,3,1,,
"Bunge North America, Inc.",unclassified food/bev mfr,hoovers,Chesterfield,Missouri,http://www.bunge.com,4.7720239E9,4583,Private,BUNGE ASIA PTE. LTD.,311225,Bunge North America (BNA) is an agribusiness and food ingredient company dedicated to improving the global food supply chain. BNA operates an extensive and fully integrated grain origination and expor,,3,0,,
"Buono Vita, Inc.",unclassified food/bev mfr,hoovers,Bridgeton,New Jersey,http://www.buonavitainc.com,2.4937571E7,115,Private,,311422,"Buono Vita, Inc. is primarily engaged in canning specialty products, such as baby foods, nationality specialty foods, and soups, except seafood.",,3,3,,
Burnett Dairy Cooperative,unclassified food/bev mfr,hoovers,Grantsburg,Wisconsin,http://www.burnettdairy.com,2.8423971E7,215,Private,Burnett Dairy Cooperative,311513,"Burnett Dairy Cooperative is primarily engaged in manufacturing natural cheese (except cottage cheese), processed cheese, cheese foods, cheese spreads, and cheese analogs (imitations and substitutes).",,3,3,,
"Burnette Foods, Inc.",unclassified food/bev mfr,hoovers,Elk Rapids,Michigan,http://www.burnettefoods.com,1.5E8,430,Private,"Burnette Foods, Inc.",311421,"Burnette Foods, Inc. is primarily engaged in canning fruits, vegetables, and fruit and vegetable juices; and in manufacturing catsup and similar tomato sauces, or natural and imitation preserves, jams",,3,0,,
Bush Brothers & Company,unclassified food/bev mfr,hoovers,Knoxville,Tennessee,http://www.bushbeans.com,1.0008308E8,650,Private,Bush Brothers & Company,311421,Bush Brothers & Company is a family-owned food processing company best known for its Bush's Best brand canned baked beans. The company manufactures and distributes a wide variety of bean products and ,,3,0,,
"Busken Bakery, Inc.",unclassified food/bev mfr,hoovers,Cincinnati,Ohio,http://www.busken.com,2.4539215E7,175,Private,"Busken Bakery, Inc.",311824,"Busken Bakery, Inc. is a family-owned and operated full-line retail bakery that has been serving the Cincinnati, Ohio area since its founding in 1928. The company primarily operates several retail sto",,3,2,,
"Butterball Farms, Inc.",unclassified food/bev mfr,hoovers,Grand Rapids,Michigan,http://www.butterballfarms.com,2.6524803E7,135,Private,,311999,"Butterball Farms, Inc. is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds; p",,3,2,,
"Butterball, LLC",unclassified food/bev mfr,hoovers,Garner,North Carolina,http://www.butterballfoodservice.com,4.5675717E8,2500,Private,Seaboard Corporation,311615,"Butterball is one of America's most iconic brands and the largest producer of turkey products in the US. Committed to being an industry leader in quality, food safety, and animal care and well-being, ",,1,0,,
"Buzzballz, LLC",unclassified food/bev mfr,hoovers,Carrollton,Texas,http://www.buzzballz.com,1.0520609E8,170,Private,"Sazerac Company, Inc.",312140,"Buzzballz, Llc is primarily engaged in manufacturing alcoholic liquors by distillation, and in manufacturing cordials and alcoholic cocktails by blending processes or by mixing liquors and other ingre",,3,2,,
Byrne Dairy Inc.,unclassified food/bev mfr,hoovers,La Fayette,New York,http://www.byrnedairystores.com,1.1223289E8,620,Private,Byrne Dairy Inc.,311520,Byrne Dairy Inc. is primarily engaged in manufacturing ice cream and other frozen desserts.,,3,0,,
"C & F Packing Co., Inc.",unclassified food/bev mfr,hoovers,Lake Villa,Illinois,http://www.cfpacking.com,2.6334942E7,130,Private,,311612,"C & F Packing Co., Inc. is primarily engaged in manufacturing sausages, cured meats, smoked meats, canned meats, frozen meats, and other prepared meats and meat specialties, from purchased carcasses a",,3,3,,
C C 1 Limited Partnership,unclassified food/bev mfr,hoovers,Bayamon,Puerto Rico,http://www.ccprb.com,4.9060599E8,816,Partnership,C C 1 Limited Partnership,312111,C C 1 Limited Partnership is primarily engaged in manufacturing soft drinks and carbonated waters.,,3,1,,
"C&H Sugar Company, Inc.",unclassified food/bev mfr,hoovers,Crockett,California,http://www.asr-group.com,3.3426516999999996E7,550,Private,"American Sugar Refining, Inc.",311313,"C&H Sugar's products go hand-in-hand with baked sweets and candy treats. The company processes about 700,000 tons of cane sugar per year, turning the canes into both sugar and molasses. It makes more ",,3,3,,
C. Mondavi & Family,unclassified food/bev mfr,hoovers,Saint Helena,California,http://www.ckmondavi.com,2.5480503E7,100,Private,C. Mondavi & Family,312130,"C. Mondavi & Family is primarily engaged in manufacturing wines, brandy, and brandy spirits. This industry also includes bonded wine cellars which are engaged in blending wines.",,3,1,,
C.H. Guenther & Son LLC,unclassified food/bev mfr,hoovers,San Antonio,Texas,http://www.chg.com,8.5401709E8,3650,Private,C.H. Guenther & Son LLC,311211,"Business is a grind for C.H. Guenther & Son; the flour mill produces the Pioneer brand of pancake, biscuit and gravy mixes, as well as the White Wings, Peter Pan, and Morrison brand name flours, torti",,3,2,,
"C.J. Foods, Inc.",unclassified food/bev mfr,hoovers,La Palma,California,http://www.cjfoods.com,2.2799065E7,80,Private,CJ CheilJedang Corporation,311999,"C.J. Foods, Inc. is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds; peanut ",,3,3,,
"CABOT CREAMERY COOPERATIVE, INC.",unclassified food/bev mfr,hoovers,Waitsfield,Vermont,http://www.cabotcreamery.com,3.1664392E7,300,Private,"Agri-mark, Inc.",311513,"Cabot Creamery Cooperative, Inc. is primarily engaged in manufacturing natural cheese (except cottage cheese), processed cheese, cheese foods, cheese spreads, and cheese analogs (imitations and substi",,3,2,,
"CFC, Inc.",unclassified food/bev mfr,hoovers,Des Plaines,Illinois,http://www.cvoils.com,8.9961639E7,100,Private,"CFC, Inc.",311225,"Cfc, Inc. is primarily engaged in manufacturing shortening, table oils, margarine, and other edible fats and oils, not elsewhere classified.",,3,3,,
"CIRKUL, INC.",unclassified food/bev mfr,hoovers,Tampa,Florida,http://www.drinkcirkul.com,1.051348E8,614,Private,"CIRKUL, INC.",311930,"Cirkul, Inc. is primarily engaged in manufacturing flavoring extracts, syrups, powders, and related products, not elsewhere classified, for soda fountain use or for the manufacture of soft drinks, and",,3,0,,
CJ Bio America Inc.,unclassified food/bev mfr,hoovers,Fort Dodge,Iowa,http://www.cjbio.net,5.8450821E7,200,Private,CJ Corporation,311119,"Cj Bio America Inc. is primarily engaged in manufacturing prepared feeds and feed ingredients and adjuncts for animals and fowls, except dogs and cats. Included in this industry are poultry and livest",,3,1,,
"CJ Foodville USA, Inc.",unclassified food/bev mfr,hoovers,Buena Park,California,http://cj.net,3.178697E7,200,Private,"CJ Foodville USA, Inc.",311812,"Cj Foodville Usa, Inc. is primarily engaged in manufacturing fresh or frozen bread and bread-type rolls and fresh cakes, pies, pastries and other similar ""perishable"" bakery products.",,3,0,,
"CLARK BEVERAGE GROUP, INC.",unclassified food/bev mfr,hoovers,Oakland,Kentucky,http://www.ccclark.com,2.3323978E7,154,Private,"C. C. Clark, Inc.",312111,"Clark Beverage Group, Inc. is primarily engaged in manufacturing soft drinks and carbonated waters.",,3,1,,
CLEMENTS FOODS CO.,unclassified food/bev mfr,hoovers,Oklahoma City,Oklahoma,http://www.clementsfoodscompany.com,4.5774658E7,235,Private,CLEMENTS FOODS CO.,311941,"Clements Foods Co. is primarily engaged in pickling and brining fruits and vegetables, and in manufacturing salad dressings, vegetable relishes, sauces, and seasonings.",,3,3,,
"CLINTON'S DITCH CO-OPERATIVE COMPANY, INC.",unclassified food/bev mfr,hoovers,Cicero,New York,http://www.clintonsditch.com,4.3568977E7,155,Private,,312111,"Clinton's Ditch Co-Operative Company, Inc. is primarily engaged in manufacturing soft drinks and carbonated waters.",,3,2,,
